sortOrder,spanish,englishPrimary,englishVariantsJson,pos,frequencyCount
19661,aisha,,[],none,664
19662,asimétrico,asymmetrical,"[""asymmetrical""]",adj,664
19663,carcinoma,carcinoma,"[""carcinoma""]",n,664
19664,cloud,cloud,"[""cloud""]",n,664
19665,cômo,,[],none,664
19666,dolan,,[],none,664
19667,gaucho,helpful,"[""possessing traditional, especially Argentine, cowboy virtues"", ""helpful"", ""cowboy""]",n,664
19668,gélido,distant,"[""gelid, frosty"", ""distant""]",adj,664
19669,investigado,investigated,"[""investigated""]",adj,664
19670,krauss,,[],none,664
19671,laringe,larynx,"[""larynx""]",n,664
19672,legitimación,"authentication, legitimation","[""authentication, legitimation""]",n,664
19673,múgica,,[],none,664
19674,racionalmente,rationally,"[""rationally""]",adv,664
19675,shu,,[],none,664
19676,thank,,[],none,664
19677,FRA,"initialism of ""fracaso renal agudo"", acute renal failure","[""initialism of \""fracaso renal agudo\"", acute renal failure""]",n,663
19678,PU,"A @abbrev of:Puebla state, Mexico","[""A @abbrev of:Puebla state, Mexico""]",prop,663
19679,Posadas,surname,"[""surname""]",prop,663
19680,Tucumán,Tucumán,"[""Tucumán""]",prop,663
19681,adicionalmente,additionally,"[""additionally"", ""in addition, further""]",adv,663
19682,banqueta,footstool,"[""footstool"", ""small bench"", ""sidewalk""]",n,663
19683,buhardilla,dormer window,"[""attic, loft"", ""dormer window""]",n,663
19684,estrafalario,"shabby, slovenly","[""outlandish, oddball [from mid-17th c.]"", ""shabby, slovenly""]",adj,663
19685,expiar,to atone,"[""to atone""]",v,663
19686,falacia,fallacy,"[""fallacy""]",n,663
19687,insidioso,insidious,"[""insidious""]",adj,663
19688,marko,,[],none,663
19689,merecido,deserved,"[""deserved""]",adj,663
19690,quid,crux,"[""gist"", ""crux""]",n,663
19691,sedentario,sedentary,"[""sedentary""]",adj,663
19692,sulu,,[],none,663
19693,traslucir,to show,"[""to show, to reveal"", ""to show""]",v,663
19694,Briones,"A municipality of La Rioja, Spain","[""A municipality of La Rioja, Spain"", ""surname, originating in La Rioja""]",prop,662
19695,agir,to sue,"[""to do something"", ""to sue""]",v,662
19696,anestésico,anesthetic,"[""anesthetic""]",n,662
19697,bikini,bikini,"[""bikini"", ""ham and cheese sandwich""]",n,662
19698,bourne,,[],none,662
19699,cariñosamente,affectionately,"[""affectionately""]",adv,662
19700,contundencia,"forcefulness, conviction","[""forcefulness, conviction""]",n,662
19701,copioso,copious,"[""copious""]",adj,662
19702,descerebrado,brainless person,"[""mindless, brainless"", ""brainless person""]",adj,662
19703,desesperante,"infuriating, exasperating","[""infuriating, exasperating""]",adj,662
19704,disquete,diskette,"[""diskette""]",n,662
19705,eucalipto,eucalyptus,"[""eucalyptus""]",n,662
19706,ipad,,[],none,662
19707,manivela,crank,"[""crank"", ""handle"", ""steering wheel""]",n,662
19708,neela,,[],none,662
19709,phelps,,[],none,662
19710,platea,stalls/orchestra seats,"[""stalls/orchestra seats""]",n,662
19711,propagandístico,propagandistic,"[""propagandistic""]",adj,662
19712,psicosomático,psychosomatic,"[""psychosomatic""]",adj,662
19713,starling,,[],none,662
19714,velma,,[],none,662
19715,vizcaíno,Biscayan,"[""Biscayan"", ""Biscayne"", ""the Biscay dialect""]",n,662
19716,Ledesma,"A town and municipality in in Salamanca, Castilla y León of Spain","[""A town and municipality in in Salamanca, Castilla y León of Spain"", ""surname derived from the town in Salamanca, Spain""]",prop,661
19718,conte,,[],none,661
19719,cítrico,citric,"[""citric"", ""citrus"", ""greenish yellow in colour"", ""citrus fruit"", ""greenish yellow""]",n,661
19720,escuálido,"squalid, dirty","[""scrawny, emaciated, skinny"", ""squalid, dirty""]",adj,661
19721,gone,,[],none,661
19722,kamikaze,kamikaze,"[""kamikaze"", ""ghost driver, wrong-way driver""]",n,661
19723,mi5,,[],none,661
19725,upper,,[],none,661
19726,adeudar,to owe,"[""to owe"", ""to debit, charge""]",v,660
19727,apetecible,appetizing,"[""appetizing""]",adj,660
19728,cannon,,[],none,660
19729,cortafuegos,firewall,"[""firebreak, fire line, firetrail"", ""firewall"", ""plural of \""cortafuego""]",n,660
19730,embalaje,"wrapping, packing","[""wrapping, packing""]",n,660
19731,mako,,[],none,660
19732,morsa,walrus,"[""walrus"", ""vise, vice""]",n,660
19733,pegadizo,sticky,"[""sticky"", ""catchy"", ""infectious""]",adj,660
19734,perredista,of the Party of the Democratic Revolution,"[""of the Party of the Democratic Revolution"", ""supporter of the Party of the Democratic Revolution, a social democratic party from Mexico""]",adj,660
19735,pons,,[],none,660
19736,provisionalmente,provisionally,"[""provisionally""]",adv,660
19737,spice,,[],none,660
19738,supergirl,,[],none,660
19739,tamal,thief,"[""tamal, tamale"", ""bundle, clumsy package"", ""embroilment, imbroglio"", ""thief"", ""vulva"", ""fat""]",n,660
19740,testimoniar,to give testimony,"[""to give testimony""]",v,660
19741,tienta,probe,"[""probe"", ""smartness"", ""trial""]",n,660
19742,Carabanchel,A district of Madrid in Spain,"[""A district of Madrid in Spain""]",prop,659
19743,Groenlandia,Greenland,"[""Greenland""]",prop,659
19744,Juanjo,given name,"[""given name""]",prop,659
19745,Okinawa,Okinawa,"[""Okinawa""]",prop,659
19746,andanza,unforeseen circumstance,"[""wanderings"", ""unforeseen circumstance"", ""fortune""]",n,659
19747,apoplejía,apoplexy,"[""apoplexy""]",n,659
19748,cardiología,cardiology,"[""cardiology""]",n,659
19749,desahogo,relief,"[""relief"", ""outlet""]",n,659
19750,gear,,[],none,659
19751,gramatical,grammatical,"[""grammar"", ""grammatical""]",adj,659
19752,guipuzcoano,Gipuzkoan,"[""Gipuzkoan""]",n,659
19753,match,match,"[""game, match"", ""match""]",n,659
19754,meteorología,meteorology,"[""meteorology""]",n,659
19755,vocacional,vocational,"[""vocational""]",adj,659
19756,atropellado,"hasty, in a rush","[""hasty, in a rush""]",adj,658
19757,bostezo,yawn,"[""yawn""]",n,658
19758,caperucita,"diminutive of ""caperuza","[""diminutive of \""caperuza""]",n,658
19759,chevrolet,,[],none,658
19760,dietético,"dietetic, dietary","[""dietetic, dietary""]",adj,658
19761,discovery,,[],none,658
19762,encallar,to run aground,"[""to run aground"", ""to become stuck""]",v,658
19763,estilizar,"to style, to stylize","[""to style, to stylize""]",v,658
19764,flack,,[],none,658
19765,fumigar,to fumigate,"[""to fumigate""]",v,658
19766,howe,,[],none,658
19767,lacrosse,lacrosse,"[""lacrosse""]",n,658
19768,reconectar,to reconnect,"[""to reconnect""]",v,658
19769,remolcador,"tugboat, towboat","[""tugboat, towboat""]",n,658
19770,shik,,[],none,658
19771,tirotear,to shoot,"[""to shoot""]",v,658
19772,underground,underground,"[""underground""]",n,658
19773,Lituania,Lithuania,"[""Lithuania""]",prop,657
19774,alfarería,pottery workshop,"[""pottery workshop"", ""pottery craft""]",n,657
19775,altiplano,a high plateau,"[""a high plateau""]",n,657
19776,braddock,,[],none,657
19777,catecismo,catechism,"[""catechism""]",n,657
19778,cuestion,,[],none,657
19779,delilah,,[],none,657
19780,gaston,,[],none,657
19781,globe,,[],none,657
19782,humboldt,,[],none,657
19783,marital,marital,"[""marital""]",adj,657
19784,pacotilla,free luggage of a sailor,"[""free luggage of a sailor"", ""trash, junk, garbage"", ""mob, rabble"", ""gang""]",n,657
19785,recaudo,safe place,"[""safe place""]",n,657
19786,sedán,sedan,"[""sedan""]",n,657
19787,topografía,topography,"[""topography""]",n,657
19788,Aranjuez,Aranjuez,"[""Aranjuez""]",prop,656
19789,Castañeda,surname,"[""A town and municipality in Cantabria, Spain"", ""surname""]",prop,656
19790,Mongolia,Mongolia,"[""Mongolia"", ""Mongolia , the Inner Mongolia autonomous region in China, and sometimes also Buryatia republic, Tuva and the Altai Republic in Russia.)""]",prop,656
19791,Tánger,Tangiers,"[""Tangiers""]",prop,656
19792,aplanar,to flatten,"[""to flatten"", ""to grade"", ""to bulldoze""]",v,656
19793,biógrafo,biographer,"[""biographer""]",n,656
19794,brea,tarpaulin,"[""tar, pitch"", ""tarpaulin""]",n,656
19795,comadre,midwife,"[""midwife"", ""the godmother of one's child"", ""the mother of one's godchild"", ""a very dear and honoured female friend"", ""a female gossipper, busybody"", ""go-between"", ""female equivalent of \""compadre""]",n,656
19796,etéreo,ethereal,"[""ethereal""]",adj,656
19797,mosquete,musket,"[""musket""]",n,656
19798,negado,"incompetent, hopeless, useless","[""incompetent, hopeless, useless""]",adj,656
19799,pícher,pitcher,"[""pitcher""]",n,656
19800,stafford,,[],none,656
19801,tiroides,related to the thyroid,"[""related to the thyroid"", ""thyroid""]",n,656
19802,Agüero,surname,"[""surname""]",prop,655
19803,Alina,given name,"[""given name""]",prop,655
19804,atrayente,attractive,"[""attractive""]",adj,655
19805,before,,[],none,655
19806,bife,steak,"[""steak""]",n,655
19807,bullicioso,tumultuous,"[""tumultuous""]",adj,655
19808,circundar,to surround,"[""to surround"", ""to ring around""]",v,655
19809,cordialidad,cordiality,"[""cordiality""]",n,655
19810,desembocadura,mouth,"[""mouth""]",n,655
19811,güero,a person with light skin and/or blond hair,"[""having pale skin and/or blond hair"", ""a person with light skin and/or blond hair""]",n,655
19812,indizar,to index,"[""to index""]",v,655
19813,jessi,,[],none,655
19814,judo,judo,"[""judo""]",n,655
19815,léxico,lexical,"[""lexical"", ""lexicon""]",n,655
19816,middleton,,[],none,655
19817,numerado,numbered,"[""numbered""]",adj,655
19818,repudio,repudiation,"[""repudiation""]",n,655
19819,sabático,sabbatical,"[""sabbatical""]",adj,655
19820,salon,,[],none,655
19821,tracey,,[],none,655
19822,yvette,,[],none,655
19823,Afrodita,Aphrodite,"[""Aphrodite"", ""given name""]",prop,654
19824,Velásquez,"surname, a variant of Velázquez, generally found in Central America, South America and the Philippines","[""surname, a variant of Velázquez, generally found in Central America, South America and the Philippines""]",prop,654
19825,andersen,,[],none,654
19826,barritar,to trumpet,"[""to trumpet""]",v,654
19827,bloqueador,blocker,"[""blocker"", ""blocking""]",n,654
19828,categóricamente,categorically,"[""categorically""]",adv,654
19829,comparsa,troupe,"[""troupe"", ""a group of people all dressed up in the same clothing, especially for a carnival"", ""extra"", ""the extras""]",n,654
19830,corazoncito,"sweetheart, sweetie","[""sweetheart, sweetie"", ""diminutive of \""corazón\"", little heart, poor heart""]",n,654
19831,decodificar,to decode,"[""to decode""]",v,654
19832,desplazado,out of place,"[""out of place""]",adj,654
19833,disolvente,solvent,"[""solvent""]",n,654
19834,duce,,[],none,654
19835,hospedaje,lodging,"[""lodging"", ""accommodation""]",n,654
19836,lactosa,lactose,"[""lactose""]",n,654
19837,maui,,[],none,654
19838,palpitante,"throbbing, pulsing","[""throbbing, pulsing""]",adj,654
19839,pesebre,nativity scene,"[""nativity scene"", ""manger"", ""a confined space set apart for the feeding of animals""]",n,654
19840,rourke,,[],none,654
19841,sudafricano,South African,"[""South African""]",adj,654
19842,Jasón,Jason,"[""Jason""]",prop,653
19843,alden,,[],none,653
19844,cappie,,[],none,653
19845,divergente,divergent,"[""divergent""]",adj,653
19846,estaran,,[],none,653
19847,foa,,[],none,653
19848,hardison,,[],none,653
19849,hostelería,catering,"[""catering"", ""the hostel industry""]",n,653
19850,llanero,"plainsman, cowboy, llanero","[""plainsman, cowboy, llanero""]",n,653
19851,rev,,[],none,653
19852,semejar,to resemble,"[""to resemble""]",v,653
19853,soñado,dream-,"[""dream-""]",adj,653
19854,Villarreal,Villarreal,"[""Villarreal"", ""surname""]",prop,652
19855,fecundar,"to fertilize, to fecundate","[""to fertilize, to fecundate""]",v,652
19856,intachable,"perfect, faultless, non-failing","[""perfect, faultless, non-failing""]",adj,652
19857,mikhail,,[],none,652
19858,polución,pollution,"[""pollution""]",n,652
19859,tifón,waterspout,"[""typhoon, tropical cyclone"", ""waterspout""]",n,652
19860,Babel,Babel,"[""Babel""]",prop,651
19861,Putin,Putin,"[""Putin""]",prop,651
19862,akbar,,[],none,651
19863,amonestación,admonishment,"[""admonishment"", ""the issuing of a caution""]",n,651
19864,ardanza,,[],none,651
19865,argüir,"to argue, reason","[""to argue, reason"", ""to indicate, suggest"", ""to demonstrate, prove"", ""to infer, imagine""]",v,651
19866,chasis,chassis,"[""chassis""]",n,651
19867,chrissy,,[],none,651
19868,esterlina,sterling,"[""sterling""]",n,651
19869,harias,,[],none,651
19870,languidecer,"to languish, pine away","[""to languish, pine away""]",v,651
19871,linchamiento,lynching,"[""lynching""]",n,651
19872,operado,having had plastic surgery,"[""having had plastic surgery""]",adj,651
19873,pueblecito,"diminutive of ""pueblo"": little village","[""diminutive of \""pueblo\"": little village""]",n,651
19874,skate,"skating, skateboarding","[""skating, skateboarding""]",n,651
19875,carbonizar,to carbonize,"[""to carbonize""]",v,650
19876,colador,sieve,"[""sieve"", ""colander""]",n,650
19877,enid,,[],none,650
19878,gayle,,[],none,650
19879,malecón,breakwater,"[""breakwater"", ""boardwalk, seaside path"", ""levee""]",n,650
19880,prenupcial,prenuptial,"[""prenuptial""]",adj,650
19881,señorío,feudal estate,"[""feudal estate"", ""rule, dominion""]",n,650
19882,shaggy,,[],none,650
19883,slam,,[],none,650
19884,taponar,to plug,"[""to plug""]",v,650
19885,violentar,to break open,"[""to break open"", ""to violate""]",v,650
19886,Dalila,Delilah,"[""Delilah"", ""given name""]",prop,649
19887,Hilario,given name,"[""given name"", ""surname deriving from the given name""]",prop,649
19888,aberrante,aberrant,"[""aberrant"", ""abnormal""]",adj,649
19889,cimentar,to found,"[""to lay the foundations of"", ""to found""]",v,649
19890,crustáceo,crustacean,"[""crustacean""]",n,649
19891,desajuste,bad adjustment,"[""bad adjustment"", ""mismatch"", ""imbalance""]",n,649
19892,dole,,[],none,649
19893,fríamente,coldly,"[""coldly""]",adv,649
19894,heisenberg,,[],none,649
19895,laudar,to laud,"[""to rule or deliver a verdict"", ""to laud""]",v,649
19896,meada,piss,"[""piss""]",n,649
19897,ornamento,ornament,"[""ornament""]",n,649
19898,turquesa,turquoise,"[""turquoise""]",adj,649
19899,unicamente,,[],none,649
19900,Bustos,surname,"[""surname""]",prop,648
19901,apedrear,to stone,"[""to stone""]",v,648
19902,avaricioso,"avaricious, greedy","[""avaricious, greedy""]",adj,648
19903,bonet,,[],none,648
19904,chocho,cinnamon sweet,"[""lupin beans, lupin fruit"", ""cinnamon sweet"", ""cunt"", ""senile, doddery"", ""sentimental, soft"", ""Nicaraguan"", ""drug addict"", ""pill""]",n,648
19905,dengue,dengue,"[""dengue"", ""playacting""]",n,648
19906,dethklok,,[],none,648
19908,galeno,doc,"[""doc""]",n,648
19909,irrevocable,irrevocable,"[""irrevocable""]",adj,648
19910,islote,islet,"[""islet""]",n,648
19911,minorista,retail,"[""retail"", ""retailer""]",adj,648
19912,oratoria,oratory,"[""oratory""]",n,648
19913,philly,,[],none,648
19914,premeditación,premeditation,"[""premeditation""]",n,648
19915,reversible,reversible,"[""reversible""]",adj,648
19916,sofisticación,sophistication,"[""sophistication""]",n,648
19917,station,,[],none,648
19918,trino,chirp,"[""chirp"", ""Trinitarian"", ""having three features or properties in one body or space""]",n,648
19919,vociferar,to vociferate,"[""to vociferate""]",v,648
19920,wee,,[],none,648
19921,adrien,,[],none,647
19922,carroña,carrion,"[""carrion""]",n,647
19923,celine,,[],none,647
19924,chicken,,[],none,647
19925,cobalto,cobalt,"[""cobalt""]",n,647
19926,codear,to elbow,"[""to elbow"", ""to rub shoulders with""]",v,647
19927,deena,,[],none,647
19928,esposito,"diminutive of ""esposo","[""diminutive of \""esposo"", ""hubby""]",n,647
19929,fria,,[],none,647
19930,heck,,[],none,647
19932,paxton,,[],none,647
19933,popularizar,"to popularise , to popularize","[""to popularise , to popularize""]",v,647
19934,primigenio,"primitive, original","[""primitive, original""]",adj,647
19935,sorry,sorry,"[""sorry""]",interj,647
19936,subnormal,"moron, imbecile","[""moron, imbecile"", ""subnormal, moronic, stupid""]",adj,647
19937,testimonial,testimonial,"[""testimonial"", ""token""]",adj,647
19938,torrencial,torrential,"[""torrential""]",adj,647
19939,trueba,,[],none,647
19940,Josué,Joshua,"[""Joshua"", ""given name""]",prop,646
19941,algarabía,gibberish,"[""hubbub, uproar"", ""gibberish"", ""Arabic""]",n,646
19942,baird,,[],none,646
19943,ceramista,potter,"[""potter""]",n,646
19944,desautorizar,to deauthorize,"[""to deauthorize""]",v,646
19945,emulsión,emulsion,"[""emulsion"", ""emulsion paint""]",n,646
19946,kern,,[],none,646
19947,mamma,,[],none,646
19948,mass,,[],none,646
19949,mico,child,"[""a monkey with a prehensile tail"", ""child"", ""an ugly person"", ""vulva"", ""a blonde person""]",n,646
19950,miralles,,[],none,646
19951,mitsuko,,[],none,646
19952,oceano,,[],none,646
19953,omnipresente,omnipresent,"[""omnipresent""]",adj,646
19954,pugnar,to conflict,"[""to struggle"", ""to conflict""]",v,646
19955,sobremesa,tablecloth,"[""tablecloth"", ""sobremesa"", ""desktop"", ""dessert""]",n,646
19956,terso,soft,"[""smooth, polished"", ""soft""]",adj,646
19957,torniquete,turnstile,"[""turnstile"", ""tourniquet""]",n,646
19958,troyano,Trojan,"[""Trojan""]",n,646
19959,Jeremías,Jeremiah,"[""Jeremiah"", ""given name""]",prop,645
19960,Sagitario,Sagittarius,"[""Sagittarius""]",prop,645
19961,Toscana,Tuscany,"[""Tuscany""]",prop,645
19962,atp,,[],none,645
19963,austen,,[],none,645
19964,billings,,[],none,645
19965,cloroformo,chloroform,"[""chloroform""]",n,645
19966,dir,,[],none,645
19967,escalpelo,scalpel,"[""scalpel""]",n,645
19968,excursionista,excursionist,"[""excursionist"", ""tourist"", ""traveler, hiker""]",n,645
19969,eyaculación,ejaculation,"[""ejaculation""]",n,645
19970,ferro,,[],none,645
19971,gigoló,gigolo,"[""gigolo""]",n,645
19972,invariable,invariable,"[""invariable""]",adj,645
19973,libio,Libyan,"[""Libyan""]",adj,645
19974,malva,mallow,"[""mallow"", ""mauve""]",n,645
19975,mouth,,[],none,645
19976,osteoporosis,osteoporosis,"[""osteoporosis""]",n,645
19977,sayid,,[],none,645
19978,tendiente,"aimed at, with the purpose of","[""aimed at, with the purpose of""]",adj,645
19979,UDI,"initialism of ""unidad de inversión","[""initialism of \""unidad de inversión"", ""initialism of \""w:es:Unión Demócrata Independiente""]",n,644
19980,azucarado,sugary,"[""sugary""]",adj,644
19981,caballeroso,chivalrous,"[""chivalrous""]",adj,644
19982,caducidad,expiry date,"[""expiry date"", ""sell-by date"", ""caducity""]",n,644
19983,ds,,[],none,644
19984,escalafón,"ranking, hierarchy","[""ranking, hierarchy""]",n,644
19985,facha,a person's face,"[""appearance, looks, style"", ""a person's face"", ""clothing that's either in poor condition or not appropriate for some occasion"", ""fascist"", ""right-wing"", ""right-wing person""]",n,644
19986,legítimamente,legitimately,"[""legitimately""]",adv,644
19987,mahoney,,[],none,644
19988,molinero,miller,"[""miller""]",n,644
19989,postrero,last,"[""last""]",adj,644
19990,remojo,"soak, soaking, steeping","[""soak, soaking, steeping""]",n,644
19991,restitución,restitution,"[""restitution""]",n,644
19992,retazo,snippet,"[""snippet"", ""piece, part""]",n,644
19993,service,,[],none,644
19994,são,,[],none,644
19995,tribulación,tribulation,"[""tribulation""]",n,644
19996,warhol,,[],none,644
19997,Brasilia,Brasília,"[""Brasília""]",prop,643
19998,Pompeya,Pompeii,"[""Pompeii""]",prop,643
19999,apetitoso,appetizing,"[""appetizing"", ""tasty, savory, delicious"", ""keen on good food""]",adj,643
20000,atareado,overworked,"[""overworked"", ""busy""]",adj,643
20001,calaña,pattern,"[""kind, sort, type, ilk"", ""pattern"", ""character, nature, quality"", ""example, model""]",n,643
20002,controversial,controversial,"[""controversial""]",adj,643
20003,convulsionar,to convulse,"[""to convulse"", ""to have a seizure""]",v,643
20004,dificultoso,"difficult, tricky","[""difficult, tricky""]",adj,643
20005,especulador,speculating,"[""speculating"", ""speculator, profiteer, scalper, stag, wildcatter""]",n,643
20006,flequillo,"diminutive of ""fleco","[""fringe, bangs"", ""diminutive of \""fleco""]",n,643
20007,lyman,,[],none,643
20008,thunder,,[],none,643
20009,veintinueve,twenty-nine,"[""twenty-nine""]",num,643
20010,vejestorio,very old object,"[""old fogey, dodo, fuddy-duddy"", ""very old object""]",n,643
20011,yamamoto,,[],none,643
20012,Piscis,Pisces,"[""Pisces""]",prop,642
20013,anacrónico,anachronistic,"[""anachronistic""]",adj,642
20014,atestado,attested,"[""packed"", ""attested"", ""obstinate"", ""affidavit""]",n,642
20015,cbi,,[],none,642
20016,chula,Fruit of cactus of species Euphorbia murielii,"[""Fruit of cactus of species Euphorbia murielii""]",n,642
20017,desligar,to shake off,"[""to untie, to unravel"", ""to separate"", ""to shake off""]",v,642
20018,edmond,,[],none,642
20019,fleco,tassel,"[""tassel"", ""bangs, fringe"", ""loose ends""]",n,642
20020,humanamente,humanly,"[""humanly"", ""humanely""]",adv,642
20021,mijail,,[],none,642
20022,ojear,to glance,"[""to glance"", ""to ogle"", ""to put the evil eye , to curse by looking with malicious intent""]",v,642
20023,pedi,,[],none,642
20024,ropaje,"garment, item of clothing","[""garment, item of clothing""]",n,642
20025,sota,insolent woman,"[""jack, knave"", ""insolent woman"", ""hussy"", ""beneath, under""]",n,642
20026,subcutáneo,subcutaneous,"[""subcutaneous""]",adj,642
20027,tapiar,enclose,"[""enclose"", ""wall up, brick""]",v,642
20028,Estonia,Estonia,"[""Estonia""]",prop,641
20029,altman,,[],none,641
20030,coleta,ponytail,"[""ponytail"", ""coleta"", ""exhaust pipe"", ""afterthought""]",n,641
20031,cumpleañero,birthday boy or -girl,"[""birthday boy or -girl""]",n,641
20032,explicitar,to explicitly state,"[""to explicitly state""]",v,641
20033,gentilmente,kindly,"[""kindly""]",adv,641
20034,hobbit,hobbit,"[""hobbit""]",n,641
20035,inactividad,"inactivity, idleness","[""inactivity, idleness""]",n,641
20036,judicatura,judiciary,"[""judiciary""]",n,641
20037,sage,,[],none,641
20038,Mori,surname,"[""surname""]",prop,640
20039,Sáez,surname,"[""surname""]",prop,640
20040,abruptamente,abruptly,"[""abruptly""]",adv,640
20041,aderezar,to address,"[""to dress, season"", ""to spice up, adorn, bedeck"", ""to address""]",v,640
20042,aspereza,asperity,"[""asperity"", ""roughness, harshness, coarseness""]",n,640
20043,chingada,"hooker, whore","[""hooker, whore"", ""toss, shit, flying fuck""]",n,640
20044,esterilidad,sterility,"[""sterility""]",n,640
20045,idolatrar,to idolize,"[""to idolize""]",v,640
20046,kincaid,,[],none,640
20047,moray,,[],none,640
20048,pringado,stuck with,"[""dirty, filthy"", ""stuck with"", ""involved"", ""loser, sucker, doormat, wimpy"", ""poor thing, poor thing wretch, victim"", ""fool, idiot""]",adj,640
20049,rompimiento,downpour,"[""breakage, fracture"", ""break, break-up"", ""downpour"", ""outbreak""]",n,640
20050,scofield,,[],none,640
20051,tinglado,shed,"[""set-up, business, thing, deal, shebang"", ""plot, intrigue"", ""shed""]",n,640
20052,zapatista,Zapatista,"[""Zapatista""]",n,640
20053,Virgo,Virgo,"[""Virgo""]",prop,639
20054,antisemita,anti-Semitic,"[""anti-Semitic"", ""anti-Semite""]",adj,639
20055,bojack,,[],none,639
20056,chalán,a gallant,"[""a traditional cowboy from Northern Peru"", ""the distinctive costume worn by a chalan, including a linen poncho, a straw sombrero, etc"", ""a gallant"", ""an assistant or helper of a construction worker, especially of a mason or painter""]",n,639
20057,curita,"band-aid , sticking plaster, Elastoplast","[""band-aid , sticking plaster, Elastoplast""]",n,639
20058,desamparo,neglect,"[""neglect"", ""helplessness""]",n,639
20059,el-,,[],none,639
20060,graf,,[],none,639
20061,ilustrísimo,"superlative of ""ilustre","[""superlative of \""ilustre""]",adj,639
20062,inclán,,[],none,639
20063,incondicionalmente,"wholeheartedly, unconditionally, unreservedly, unquestioningly","[""wholeheartedly, unconditionally, unreservedly, unquestioningly""]",adv,639
20064,myka,,[],none,639
20065,pasquale,,[],none,639
20066,refrendar,"to authorize, endorse","[""to authorize, endorse""]",v,639
20067,tolerable,tolerable,"[""tolerable""]",adj,639
20068,tulio,thulium,"[""thulium""]",n,639
20070,Jacky,given name,"[""given name""]",prop,638
20071,Siena,Siena,"[""Siena""]",prop,638
20072,Tere,given name,"[""given name""]",prop,638
20073,abertzale,Basque nationalist,"[""nationalist, pertaining to the Basque nationalist movement"", ""Basque nationalist""]",adj,638
20074,alborotador,troublemaking,"[""troublemaking"", ""troublemaker, agitator, tearaway""]",n,638
20075,azucena,lily,"[""lily""]",n,638
20076,britt,,[],none,638
20077,desposeer,to take away someone's possessions,"[""to take away someone's possessions""]",v,638
20078,enmudecer,"to silence, to shut up","[""to silence, to shut up"", ""to go silent, become mute""]",v,638
20079,hbo,,[],none,638
20080,milhouse,,[],none,638
20081,modelado,modelling,"[""modelling""]",n,638
20082,penalización,penalty,"[""penalty""]",n,638
20083,rimmer,,[],none,638
20084,Abner,Abner,"[""Abner"", ""given name""]",prop,637
20085,Rosendo,given name,"[""given name"", ""surname""]",prop,637
20086,Tebas,Thebes,"[""Thebes""]",prop,637
20087,cajuela,"trunk, boot","[""trunk, boot""]",n,637
20088,chillón,squeaky,"[""flashy, bright"", ""squeaky"", ""loud"", ""crybabyish"", ""cowardly"", ""screamer, shouter, yeller""]",n,637
20089,cruento,bloody,"[""bloody""]",adj,637
20090,crusoe,,[],none,637
20091,darrell,,[],none,637
20092,diminutivo,diminutive,"[""diminutive""]",n,637
20093,edulcorante,"sweetener, sugar substitute","[""sweetener, sugar substitute""]",n,637
20094,empedernido,hopeless,"[""hardened, inveterate"", ""hopeless"", ""confirmed""]",adj,637
20095,equitación,horseback riding,"[""horseback riding""]",n,637
20096,escarcha,frost,"[""frost"", ""hoarfrost, rime""]",n,637
20097,karim,,[],none,637
20098,moreiras,,[],none,637
20099,pt,,[],none,637
20100,barquero,"boatman, ferryman","[""boatman, ferryman""]",n,636
20101,chardonnay,Chardonnay,"[""Chardonnay""]",n,636
20102,cirio,"a long, thick wax candle, often used in religious ceremonies","[""a long, thick wax candle, often used in religious ceremonies""]",n,636
20103,disfuncional,dysfunctional,"[""dysfunctional""]",adj,636
20104,enredadera,"climber, vine","[""climber, vine""]",n,636
20105,ensoñación,daydream,"[""daydream""]",n,636
20106,entrevistador,interviewer,"[""interviewer""]",n,636
20107,huntington,,[],none,636
20108,jeanie,,[],none,636
20109,lotte,,[],none,636
20110,marginar,to exclude,"[""to exclude""]",v,636
20111,pizarrón,"chalkboard, blackboard","[""chalkboard, blackboard""]",n,636
20112,reapertura,reopening,"[""reopening""]",n,636
20113,sentia,,[],none,636
20114,suscriptor,executor,"[""executor"", ""subscriber""]",n,636
20115,tiara,tiara,"[""tiara"", ""a turban, especially that worn by ancient Persian kings""]",n,636
20116,antinatural,"unnatural, antinatural, contranatural","[""unnatural, antinatural, contranatural""]",adj,635
20117,ataviar,to dress,"[""to dress"", ""to adorn""]",v,635
20118,dual,dual,"[""dual""]",adj,635
20119,espátula,squeegee,"[""spatula, fish slice, turner, pancake turner, kitchen turner, cooking turner, flipper"", ""scraper, wall scraper, wallpaper scraper, putty knife"", ""squeegee"", ""spoonbill""]",n,635
20120,etiología,etiology,"[""etiology""]",n,635
20122,honroso,honourable,"[""honourable""]",adj,635
20123,pajarillo,"diminutive of ""pájaro","[""diminutive of \""pájaro""]",n,635
20124,procreación,procreation,"[""procreation""]",n,635
20125,psique,psyche,"[""psyche""]",n,635
20126,squash,squash,"[""squash""]",n,635
20127,tudela,,[],none,635
20128,abanderado,"standard-bearer, flagbearer","[""standard-bearer, flagbearer""]",n,634
20129,antagonista,antagonistic,"[""antagonistic"", ""antagonist""]",n,634
20130,axioma,axiom,"[""axiom""]",n,634
20131,degenerativo,degenerative,"[""degenerative""]",adj,634
20132,delator,telltale,"[""telltale"", ""informer"", ""betrayer, accuser""]",n,634
